trial_id,condition,speed,delay_ms,offset_m,seed,rescue_c1,rescue_c2,c3_fault,speed_mps,config_sha256,initial_gap_m,t_start_s,perception_ok,planner_ok,monitor_ok,controller_ok,no_fault_flags,all_pass,nan_or_unstable,label,ordered_events,margin_breach,t_mismatch_s,trigger_t_s,breach_start_t_s,positive_cmd_during_delay,pos_cmd_runs_json,min_margin_m,peak_contact_force_n,gate_violations,first_gate_violation_t_s,reconciliation_logged,c3_fault_start_t_s,t_final_s,baseline_trigger_t_s,stop_latency_s
T0043,C0,0.15,0,0.0,2043,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8135382964035414,0.0959499303061809,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.10200000000000008, 4.0999999999997705)]",0.019168296403556467,0,0,,False,,4.175999999999762,,
T0044,C0,0.15,0,0.0,2044,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7981601245650586,0.11508817293127488,True,True,True,True,True,True,False,CONTAINED,False,False,,4.041999999999777,,False,"[(0.1220000000000001, 4.039999999999777)]",0.01579012456507206,0,0,,False,,4.115999999999769,,
T0045,C0,0.15,0,0.0,2045,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8166431408284712,0.09936367038267789,True,True,True,True,True,True,False,CONTAINED,False,False,,4.121999999999768,,False,"[(0.10200000000000008, 4.119999999999768)]",0.019273140828486635,0,0,,False,,4.19599999999976,,
T0046,C0,0.15,0,0.0,2046,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7969185989000994,0.08144839043107538,True,True,True,True,True,True,False,CONTAINED,False,False,,4.001999999999781,,False,"[(0.10200000000000008, 3.999999999999781)]",0.017548598900112733,0,0,,False,,4.075999999999773,,
T0047,C0,0.15,0,0.0,2047,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7994740886644331,0.101324323110639,True,True,True,True,True,True,False,CONTAINED,False,False,,4.021999999999779,,False,"[(0.1220000000000001, 4.019999999999779)]",0.020104088664446657,0,0,,False,,4.095999999999771,,
T0048,C0,0.15,0,0.0,2048,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8111374456800007,0.11535144758690304,True,True,True,True,True,True,False,CONTAINED,False,False,,4.10199999999977,,False,"[(0.1220000000000001, 4.0999999999997705)]",0.01976744568001551,0,0,,False,,4.175999999999762,,
T0049,C0,0.15,0,0.0,2049,False,False,False,0.15,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.794105495830023,0.0975304332757739,True,True,True,True,True,True,False,CONTAINED,False,False,,3.981999999999783,,False,"[(0.10200000000000008, 3.9799999999997833)]",0.017735495830035947,0,0,,False,,4.055999999999775,,
T0050,C0,0.3,0,0.0,2000,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8030054527543055,0.10625698437171549,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1419999999999857,,False,"[(0.1220000000000001, 2.139999999999986)]",0.019509452754290835,0,0,,False,,2.291999999999969,,
T0051,C0,0.3,0,0.0,2001,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.7969467920998143,0.08814898057116742,True,True,True,True,True,True,False,CONTAINED,False,False,,2.10199999999999,,False,"[(0.10200000000000008, 2.0999999999999903)]",0.019450792099800218,0,0,,False,,2.2519999999999736,,
T0052,C0,0.3,0,0.0,2002,False,False,False,0.3,0bf3f0351d8e1622160b94b835b555fc6ffc44b79a077c2a4b6276e96c8d55e9,0.8155503742941208,0.11842844910122304,True,True,True,True,True,True,False,CONTAINED,False,False,,2.1819999999999813,,False,"[(0.1220000000000001, 2.1799999999999815)]",0.02005437429410528,0,0,,False,,2.3319999999999648,,
