"doc_id","dominant_topic","max_prob"
2658,11,0.555228410569277
2659,2,0.460185947115647
2670,2,0.349968660943223
2673,1,0.740781311776041
2676,6,0.778785106224958
2679,4,0.397133987578687
2680,9,0.407129157995084
2681,4,0.297681661319738
2682,9,0.465158347250611
2689,9,0.353887079175491
2691,4,0.239547513427059
2697,4,0.518576164484224
2698,1,0.679857265232098
2699,9,0.609716260111857
2700,3,0.337639090220653
2701,7,0.8710902971302
2706,5,0.660503521992031
2709,9,0.578905345353787
2714,11,0.662565446426692
2718,5,0.467026512497298
2721,9,0.418722923162287
2725,11,0.573070460702257
2726,2,0.538366436512171
2727,4,0.497901596591795
2729,4,0.699630482978341
2737,11,0.535705825378315
2746,7,0.611842520921577
2749,5,0.989790218272646
2751,5,0.622319597018647
2761,12,0.489510220387954
2770,1,0.70152810415712
2775,7,0.549377905072947
2777,9,0.509389247664467
2782,10,0.441971554181324
2784,5,0.916820178921592
2785,9,0.428996495190605
2787,7,0.61488668452075
2794,5,0.743572954112524
2798,4,0.471436336052216
2800,4,0.702514236309185
2804,5,0.966686739802858
2806,11,0.643066650545553
2812,5,0.962833988537835
2819,11,0.551377646460329
2832,11,0.98919615312495
2837,12,0.39053018231638
2838,5,0.644287796514844
2841,4,0.598397130248935
2845,1,0.708916914662723
2846,7,0.64811331036208
2848,5,0.768968080047805
2852,4,0.581651497947887
2857,1,0.697560337585088
2861,6,0.449516691815224
2864,4,0.650620755274867
2866,1,0.316531501448582
2873,10,0.438335031909427
2878,11,0.90126549243208
