"topic","covariate","coefficient","std_error","t_value","p_value","ci_lower","ci_upper"
4,"C2_std",-0.0364707708285343,0.00812962200309441,-4.48615825122648,7.67386858350198e-06,-0.0524144231404389,-0.0205271185166297
4,"C3_std",-0.00887210272967619,0.00593769274311775,-1.49420037605678,0.135284880015856,-0.0205169871529808,0.00277278169362844
4,"C4_std",0.0409236213065967,0.0280599833379412,1.45843355691741,0.144881952935794,-0.0141070576164435,0.0959543002296369
4,"C5_std",0.0230860925175294,0.0124699061495821,1.85134452822671,0.0642709477002502,-0.0013696383805791,0.0475418234156378
4,"C6_std",0.00645776036300312,0.00846319581512488,0.76304040507514,0.445531501926291,-0.0101400902470937,0.0230556109731
4,"C7_std",0.0464944229668247,0.00909728967457357,5.11079943917517,3.52119431479195e-07,0.0286530001433684,0.0643358457902809
4,"C8_std",0.00623294238911111,0.031231441242659,0.199572678720876,0.841835583839613,-0.055017536437961,0.0674834212161832
4,"C9_std",0.00873776927893879,0.0073258395751185,1.19273281776682,0.233118989595255,-0.00562952098794229,0.0231050595458199
4,"C10_std",0.0098390485697173,0.00769967582928383,1.27785231324894,0.201453446303747,-0.00526140189277043,0.024939499032205
5,"C1_std",-0.0299949125282691,0.0437450411629207,-0.685675718455912,0.492999044964571,-0.115786813603877,0.0557969885473391
5,"C2_std",0.0148220820782548,0.00904792763973807,1.63817425032854,0.101546515226199,-0.00292253290831488,0.0325666970648245
5,"C3_std",-0.0107932338682606,0.00660840248984248,-1.63325915527246,0.102575775039923,-0.023753500851777,0.00216703311525589
5,"C4_std",-0.0230476099731931,0.0312295822262475,-0.738005709017213,0.460599690820341,-0.0842944429344064,0.0381992229880201
5,"C5_std",0.00369802216035863,0.0138784814930876,0.266457260630458,0.789915213955339,-0.0235201785701019,0.0309162228908191
5,"C6_std",-0.0133992455172635,0.00941918127399247,-1.42254885297308,0.155026758123996,-0.0318719557168493,0.0050734646823222
5,"C7_std",-0.0105095089045549,0.0101249010915818,-1.03798632791513,0.299404978726177,-0.0303662627161293,0.00934724490701948
5,"C8_std",0.0427566861112561,0.0347592815927666,1.23007968381469,0.218815490935132,-0.0254125227542623,0.110925894976775
5,"C9_std",2.49025433460396e-05,0.00815335157658892,0.00305427076363828,0.997563360393595,-0.0159652877341814,0.0160150928208734
