bertopic_id,bertopic_name,safety_score,safety_category,decay_probability,trend_direction,current_state_name,lifecycle_stage,tmi,fit_reliable,bertopic_count,dim_safety,dim_temporal_decay,dim_lifecycle_risk,cascade_score,risk_level,variant
37,37_foot_sole_heel_arch,2,stability_balance,0.01,growing,mature,growing,0.1945,True,31,0.4,0.01,0.1,0.004,LOW,cut_2025
38,38_control_robot_core_nios,0,not_safety,0.01,mature,mature,growing,0.1266,True,40,0.0,0.01,0.1,0.0,NON_SAFETY,cut_2025
39,39_picking_mechanism_device_cake,0,not_safety,0.01,growing,growing,saturated,0.0,True,38,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2025
40,40_wheel_leg_wheel leg_wheel legged,3,stability_balance,0.01,growing,growing,mature,0.0,True,26,0.6,0.01,0.35,0.020999999999999998,MEDIUM,cut_2025
41,41_image_detection_human_human shape,0,not_safety,0.01,mature,mature,mature,0.0866,True,35,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
42,42_service_user_information_module,0,not_safety,0.01,growing,mature,saturated,0.1462,True,40,0.0,0.01,0.6,0.0,NON_SAFETY,cut_2025
43,43_monitoring_image_camera_area,1,thermal_management,0.01,mature,mature,growing,0.2113,True,35,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
44,44_control_module_communication_humanoid robot,1,fail_safe_emergency,0.01,mature,mature,growing,0.2501,True,32,0.2,0.01,0.1,0.002,NON_SAFETY,cut_2025
45,45_legged robot_legged_desired trajectory_trajectory,0,not_safety,0.937499999999433,declining,declining,mature,0.0,True,19,0.0,0.937499999999433,0.35,0.0,NON_SAFETY,cut_2025
46,46_module_signal_household_internet things,0,not_safety,0.01,growing,growing,mature,0.3337,True,36,0.0,0.01,0.35,0.0,NON_SAFETY,cut_2025
